Name_matched,Height_mean,LA_mean,LN_mean,LMA_mean,SSD_mean,SM_mean
Pinguicula alpina,0.06,83.7,NA,0.02047502,NA,14.8
Pinguicula vulgaris,0.073095238,198.3085,16.820375,0.021839037,0.641004667,2.321916389
Pinus albicaulis,20.58575,NA,10.35,0.244833572,NA,142.2231462
Pinus cembroides,14.24566667,21.55,NA,0.14558809,NA,286.31915
Pinus fenzeliana,NA,NA,NA,NA,0.465,NA
Pinus jeffreyi,52.14466667,NA,11.17833333,0.331073671,0.385,119.5510326
Pinus lambertiana,74.17106667,NA,NA,NA,0.38,215.4329894
Pinus massoniana,19,NA,12.40862015,0.144103221,0.4673645,13.55
Pinus maximartinezii,NA,NA,NA,NA,NA,1269
Pinus monticola,57.37125,NA,14.6,0.198688655,0.42,17.60862433
Pinus nigra,30.39777619,139.139639,10.23758897,0.231225036,0.615574784,19.96390587
Pinus palustris,27.236,593.7527778,8.8,0.266699453,0.62,97.9441914
Pinus pinaster,25.10864198,358.9580544,10.08247092,0.422393867,0.52124141,59.18384444
Pinus ponderosa,61.58518788,178.85,12.63501667,0.313012445,0.429011678,35.19979408
Pinus radiata,30.56622222,NA,14.37558528,0.123626046,0.477142857,31.69805163
Pinus strobus,39.53904762,140.4,14.95247411,0.173568687,0.36,15.08091557
Pinus sylvestris,27.2624359,523.6141565,13.02235003,0.224925779,0.545988194,7.199918951
Plantago coronopus,0.151587443,187.6875,11.783,0.056437827,0.333242,0.155950893
Plantago lanceolata,0.252656888,1522.220018,20.20234063,0.065430175,0.17435494,1.369673904
Plantago major,0.2459175,2573.854167,24.31358515,0.054783059,0.336135876,0.218998919
Plantago maritima,0.267409722,846.4583333,15.37,0.10457028,0.172365521,0.566675
Plantago media,0.317095238,2888.688667,21.84853842,0.056278697,0.416301939,0.394204762
Plantago patagonica,0.1524,NA,19.89,0.075,NA,0.52870773
Plantago rugelii,0.1883,16091,16.58325028,0.048787082,0.229399254,1.037666667
Poa alpina,0.208415,154.123637,19.59972222,0.061290717,0.1967747,0.957216821
Poa sylvestris,0.9144,NA,NA,NA,NA,0.566123188
Podophyllum peltatum,0.4,12800,34.12142857,0.031520835,NA,NA
Polygonum perfoliatum,NA,NA,NA,NA,NA,18.62666667
Polystichum aculeatum,0.791666667,48978.1875,NA,0.074494338,NA,NA
Polystichum setiferum,0.8475,74422.5,21.09,0.045036399,NA,NA
Potentilla anserina,0.223252778,495,26.47356417,0.058588969,0.208542714,0.808201932
Potentilla recta,0.413729167,1601.811714,NA,0.059745618,0.261110873,0.269133333
Primula elatior,0.165333333,4205.875,22.9995,0.040097035,NA,0.766888889
Primula farinosa,0.124333333,165.70077,21.92666667,0.042670096,0.188372543,0.079733333
Primula veris,0.174404762,2775.993203,19.255,0.053245069,0.430365331,0.83437619
Primula vulgaris,0.120833333,5628.614418,14.95011667,0.043966492,0.189177062,1.090088889
Prioria copaifera,38.83134335,6656,20.82976512,0.107565991,0.406925718,38921.781
Prosopis flexuosa,NA,NA,NA,NA,0.28713,86.39666667
Prosopis glandulosa,6.935,150.8016667,28.15305542,0.1481644,0.747233333,83.71126275
Prosopis laevigata,NA,NA,NA,NA,NA,71.32
Protea neriifolia,1.5,888.94,8.385445707,0.266630612,NA,19.13
Prunus africana,10,NA,NA,NA,0.6643942,343.8783333
Prunus mahaleb,7.710428571,628.8119367,21.47483333,0.074117536,NA,83.111
Prunus serotina,17.57006349,2402.960778,24.38620806,0.059930175,0.589361321,99.27136156
Pseudophoenix sargentii,7.62,NA,NA,NA,NA,NA
Psidium guajava,8.81,4094.746667,16.80833333,0.100615809,0.701187,10.20525242
Psoralea esculenta,NA,NA,30.05,0.116037736,NA,20.74
Psoralea tenuiflora,NA,NA,36.265,0.1053,NA,32.125
Pterocarpus angolensis,NA,NA,24.43333333,NA,0.558759083,220.0166667
Pterocarya rhoifolia,25,NA,29.3,NA,NA,109
Ptilotus obovatus,0.675,103.57915,NA,0.127608156,NA,2.8405
Ptychosperma macarthurii,NA,NA,NA,NA,NA,323.95
Quercus mongolica,31.25,NA,24.33347983,0.055783017,0.6141385,2457.111111
Quercus rugosa,17.2214,NA,NA,NA,NA,NA
Ranunculus acris,0.443396154,3385.295516,26.45418667,0.046535631,0.228291317,1.500754167
Ranunculus bulbosus,0.25445,916.4779889,23.80748918,0.056487065,0.24022082,2.652628968
Ranunculus peltatus,0.333333333,215.565,NA,0.026022179,0.147222,0.431816667
Ranunculus repens,0.321273958,1955.189514,23.60301257,0.043735543,0.244299921,3.745920175
Raphanus raphanistrum,0.478333333,3187.833333,NA,0.036712011,0.2832,17.86727407
Ratibida columnifera,0.94488,364.8866667,17.595,0.064707763,NA,0.818143216
Reinhardtia gracilis,1.5,NA,NA,NA,NA,230
Rheum acuminatum,NA,NA,48.18037717,0.037359917,NA,NA
Rhinanthus minor,0.308148148,168.1515833,34.85695176,0.056094971,0.496269474,2.558305745
Rhizophora mangle,22.22386667,2872.96,12.00142857,0.16007654,0.89675625,10100
Rhododendron maximum,6.7245,12000,9.575,0.182785998,0.5,1.34515
Rhododendron ponticum,3.625,2402.741667,12.494375,0.132918301,NA,0.08805
Rhopalostylis sapida,NA,NA,NA,NA,NA,300.86
Rhus aromatica,1.524,NA,NA,NA,NA,22.43445689
Rorippa palustris,0.457916667,2167.987571,NA,0.02593352,0.151588667,0.073345833
Rosa canina,2.585208333,218,22.89083444,0.082270019,NA,89.3544494
Rosa multiflora,1.75,827.4344388,30.80936333,0.039016981,NA,7.6575
Roupala montana,19.60866667,7400.348933,10.90389125,0.155592762,0.797185631,37.66666667
Rubus praecox,NA,3165.82725,26.45696,0.069668913,NA,NA
Rubus saxatilis,0.199166667,2275.466667,21.68128858,0.035920939,NA,25.85791667
Rubus ursinus,1.375733333,1793,20.1,0.061779595,0.4235,1.939242172
Rumex obtusifolius,0.672619048,23416.08333,34.78743058,0.039135543,0.3618,1.542733333
Rumex rupestris,0.7,NA,NA,NA,NA,1.81125
Ruppia maritima,0.303653333,41,NA,0.019794141,NA,NA
Sabal mexicana,14.859,NA,NA,NA,NA,NA
Sabal minor,2.8956,NA,NA,NA,NA,226.4492754
Sabal palmetto,18.29272,NA,NA,0.321404119,NA,305.2375389
Salix arctica,0.045041667,183.25,26.30791167,0.083426494,0.682923007,0.04
Salsola kali,0.465277778,20.51567692,25,0.26561663,0.2076889,7.954693333
Salvia pratensis,0.558611111,4032.625993,27.00675333,0.046565259,0.193556743,2.075535185
Sanicula europaea,0.138397494,2363.545438,21.66509722,0.033628248,0.188154396,3.093245667
Sapium sebiferum,13.739,2422.166667,33.4,0.049105299,0.47296325,163.16
Sarracenia alata,NA,NA,NA,NA,0.2068925,1.24
Sarracenia purpurea,0.2625,8189.465,10.97222167,0.111225319,0.17971,1.545
Saussurea medusa,NA,NA,24.9,0.0656,NA,NA
Saxifraga aizoides,0.08,24.11,12.52124333,0.076550047,0.328451143,0.051583333
Saxifraga cotyledon,0.5,261.12,NA,0.122249389,NA,NA
Saxifraga tridactylites,0.084583333,38,NA,0.057253045,0.151938,0.011258333
Scabiosa columbaria,0.448529672,1751.711723,18.59153533,0.056708834,0.260341353,1.706492063
Scaphium macropodum,32.5,36577.76079,15.18673206,0.040336365,0.362602508,2210
Schima superba,2,7030,12.28794862,0.091263562,0.5376945,4.199166667
Schismus barbatus,0.061347222,8.693228571,27.73284977,0.069849547,NA,0.078789474
Schizachyrium brevifolium,0.4,NA,NA,NA,NA,0.17
Schizachyrium sanguineum,1.6,2044.87,11.25,0.043181229,0.2499634,1.19
Sclerocarya birrea,NA,NA,18.825,NA,0.50799,2722.629167
Scorzonera hispanica,0.925,2702,NA,0.07204611,NA,9.7096
Scorzonera humilis,0.32,3213.75,NA,0.055131598,0.6399785,3.37852
Senecio filaginoides,NA,NA,NA,0.222222222,NA,0.56
Senecio integrifolius,0.3125,NA,NA,NA,NA,0.6
Sequoia sempervirens,85.78056667,24,10.83463203,0.090760574,0.496333333,5.365992701
Setaria faberi,0.65,3277.2,NA,0.043422528,0.1886945,1.544545
Setaria incrassata,NA,NA,NA,NA,NA,1.75
Shorea acuminata,NA,NA,NA,NA,0.416666667,NA
Shorea bracteolata,NA,NA,NA,NA,0.535,NA
Shorea leprosula,60,5280.413476,19.96538069,0.03399491,0.306917364,570
Shorea maxwelliana,NA,NA,NA,NA,0.83,NA
Shorea ovalis,35,NA,NA,0.061237362,0.43,1270
Shorea quadrinervis,NA,NA,15.4,NA,0.435,NA
Silene acaulis,0.0242,11.75673333,12.98034,0.081460678,0.394335447,0.300996131
Silene tatarica,0.3,NA,NA,NA,NA,0.1647
Sinapis arvensis,0.566666667,9290.666667,NA,0.030597613,0.153335333,2.149094444
Solidago altissima,NA,1067,NA,0.057657597,NA,0.088777778
Solidago mollis,NA,NA,NA,NA,NA,0.758333333
Spartina alterniflora,1.0668,NA,NA,NA,NA,22.64492754
Spartium junceum,3.5,161.351546,41.38509667,0.059047278,0.48,13.162
Sphaeralcea coccinea,0.4572,184.6203704,NA,0.13731624,NA,2.551449275
Spiranthes spiralis,0.16625,NA,NA,NA,NA,NA
Sporobolus heterolepis,0.70104,547.732,9.68,0.073355205,NA,1.429353865
Stenaria nigricans,NA,NA,15.275,0.0704,NA,NA
Stipa calamagrostis,0.8,4740.73549,18.40399,0.061554074,NA,0.395
Stipa comata,0.38648,92.16545455,19.74208333,0.118161272,0.2876,5.155030874
Striga hermonthica,0.35,NA,NA,NA,NA,0.0071
Stryphnodendron microstachyum,30.7,13596.66014,37.78,0.067228287,0.433178857,80
Stylocline micropoides,NA,NA,NA,NA,NA,0.16
Styrax obassis,6,NA,16.70098513,0.043019564,NA,NA
Succisa pratensis,0.453909524,2904.374074,14.62845798,0.064902863,0.329282869,1.354158796
Swietenia macrophylla,31.35793883,3153.760448,16.51026898,0.106280044,0.59411193,550.3836946
Syzygium acuminatissimum,NA,NA,13.8,0.0807,NA,NA
Syzygium jambos,15,4230.218,12.98,0.113324168,0.7,2380
Tachigali vasquezii,NA,NA,24.16784,0.135200129,0.455800189,NA
Taraxacum campylodes,0.2,NA,NA,NA,NA,NA
Taraxacum erythrospermum,0.055,NA,NA,NA,NA,0.378666667
Taraxacum serotinum,NA,NA,NA,NA,NA,0.539
Taxus brevifolia,15.897375,22,11.875,0.064953876,0.67,30.09523714
Taxus floridana,7.048,NA,NA,NA,NA,NA
Tetraberlinia bifoliolata,NA,NA,NA,NA,0.51195046,NA
Thelesperma megapotamicum,NA,NA,NA,NA,NA,2.633333333
Themeda triandra,2,NA,13.60785714,0.044047042,NA,2.825
Thlaspi perfoliatum,0.155555556,65.45,NA,NA,NA,0.532645714
Thrinax radiata,9.2962,NA,NA,NA,NA,NA
Thymus vulgaris,0.232542857,3.967987784,15.578,0.117333915,NA,0.886304762
Tillandsia flexuosa,NA,NA,NA,NA,NA,0.89
Tillandsia recurvata,NA,NA,NA,NA,NA,0.31
Torreya taxifolia,12.636,NA,NA,NA,NA,2014.391224
Tragopogon dubius,0.4831125,608.62755,25.262,0.054693069,0.37298,9.211849749
Tragopogon pratensis,0.483944444,1099.059333,21.9,0.041840455,0.315326639,6.798667949
Trifolium dasyphyllum,0.046,62,25.53666667,0.245568753,NA,2.17
Trifolium montanum,0.331,373.68743,34.38428229,0.054264258,0.139984936,0.7409375
Trifolium parryi,0.08075,92.5,26.495,0.072835567,NA,NA
Trifolium pratense,0.306762611,400.1866667,38.04759402,0.042495456,0.23016321,1.564673047
Trillium erectum,NA,NA,24.7,NA,NA,NA
Trillium grandiflorum,0.325,8000,30.82,0.028011204,NA,10.7
Trillium ovatum,0.3162,4544.951667,25.68,0.019588639,0.128947368,11.658
Trollius europaeus,0.305666667,6152.880556,25.59332687,0.047853552,0.206830392,0.976520707
Trollius laxus,0.178,2758.371429,NA,0.076649216,NA,0.74
Tsuga canadensis,31.75657143,48,12.78259699,0.122952382,0.43,2.500109955
Ulex gallii,1.33125,NA,25.41666667,0.132957635,NA,6.376182857
Ulex minor,0.64375,NA,NA,NA,NA,3.30375
Vaccinium myrtillus,0.29850625,170.4919714,18.37713719,0.052631146,0.477318175,4.212503077
Vatica mangachapoi,NA,NA,17.42666667,NA,0.75,59
Veronica arvensis,0.149654167,88.75309713,20.06563167,0.042084101,0.420041513,0.11047625
Viburnum furcatum,4.7,NA,NA,NA,NA,NA
Viola biflora,0.1286,159.05,38.93,0.044976325,0.341713438,0.74
Viola elatior,0.35,NA,NA,NA,NA,1.5725
Viola persicifolia,0.170833333,379.79,NA,0.028654799,NA,0.48
Viola pumila,0.125,NA,NA,NA,NA,1.103
Virola surinamensis,33.8144656,8569.930124,19.2462454,0.10073918,0.424363686,1892.208056
Vochysia ferruginea,28.2122605,3403.236317,18.67286688,0.096313059,0.413115443,40.7388
Vouacapoua americana,27.89835165,3962.093879,25.9341558,0.07016491,0.745632391,32600
Vulpia fasciculata,0.4,NA,NA,NA,NA,2.846666667
Vulpia octoflora,NA,NA,NA,NA,NA,0.6
Xanthorrhoea resinosa,NA,NA,5.6,0.44,NA,NA
Zea diploperennis,NA,NA,NA,NA,NA,73.75
Zea mays,3.08768,51264.16315,21.88512762,0.048328507,0.270866,216.8889543
Ziziphus jujuba,11.98466667,NA,24.84166667,0.1321,0.705681875,596.7005556
Carex aquatilis,0.202890578,698,NA,0.056748858,NA,NA
Eriophorum angustifolium,0.095398374,240.5252059,29.99470588,0.050676992,NA,0.356
