"","SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor","UID_new","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","Survival_index999","Survival_index_La_RepExp","Growth","Retrogression","Repro_life_expectancy","Age_at_Maturity","GiniF_repro","Gini_life99","Gini_life999","Gen_time","NSeedStages"
"4306","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","DE3",51.7778083333333,0.693977777777778,187,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 2,67%",5,1,34,"Y_edits","DOI added","forest",90,0.151166155384133,0.785164564129627,2,81,147,0.0246913580246914,0.0136054421768707,0.0693758178287559,0.206946883961572,0.141932753160262,25.2840874391332,3.54440154440154,0.02000822775295,0.0605836667336856,0.0334327725782523,37.188467801503,0
"4309","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","DE4",51.7778083333333,0.693977777777778,187,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 2,03%",5,0.987,35,"Y_edits","DOI added","forest",91,0.261090714634231,3.55706868058939,2,111,188,0.018018018018018,0.0106382978723404,0.0671265552035304,0.268534075283401,0.112048370668509,27.376134229827,2.41833375584459,0.00980030135407357,0.0255557960782592,0.0150954869083299,21.1695197770055,0
"4311","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","DE6",51.7778083333333,0.693977777777778,187,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1993,NA,NA,"Divided","Yes","Canopy openess: 1,57%",5,0.988,36,"Y_edits","DOI added","forest",92,0.229321409390872,11.7347996119026,11,208,324,0.0528846153846154,0.0339506172839506,0.20988199175494,0.358802211002885,0.0933360619114397,49.4410874974018,2.96931659693166,0.00847351413028913,0.0179663359423112,0.0115432555726104,19.7441573362212,0
"4358","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 1",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.845,37,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",93,0.716540070399983,0.419398369438563,2,7,19,0.285714285714286,0.105263157894737,0.203374957112987,0.0632728500565916,0.0164651760857869,5.81418987599105,4.01986259728807,0.0285717141866293,0.458443226116275,0.167758563643141,10.0485274221655,0
"4361","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 2",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.885,38,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",94,0.555315604576402,0.906705573387803,2,16,29,0.125,0.0689655172413793,0.189130998449587,0.176279801443484,0.0263889646802836,6.71034345840778,3.86433766946193,0.0438477149871468,0.205725227760404,0.112144306773779,9.31101700275129,0
"4364","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 3",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.825,39,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",95,0.297834227667374,0.265166944971633,2,15,25,0.133333333333333,0.08,0.221766184014564,0.175154386156102,0.0595668455334748,5.32217072806099,3.69633679997877,0.0311371422309972,0.190092954673194,0.111875713711747,10.2997239704129,0
"4367","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 4",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.82,40,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",96,0.45670445591743,0.0201691607026675,2,3,10,0.666666666666667,0.2,0.224450367764309,0.0601230636781563,0.0540188066138896,4.75624256837099,4.15441335935804,0.0761030026659334,1,0.349400067159767,16.3003804756433,0
"4370","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 5",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.85,41,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",97,0.433307882853426,0.365598872296375,2,14,27,0.142857142857143,0.0740740740740741,0.178620900213439,0.154170023052239,0.0506053001872615,6.28841607565012,4.90848192234536,0.0277563229858989,0.251421983563646,0.12935463759221,11.4802723954338,0
"4373","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 6",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.855,42,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",98,0.424061150000293,0.392347182498171,2,14,26,0.142857142857143,0.0769230769230769,0.206743852510272,0.163546716056046,0.0518635938849279,5.85087406350339,3.82293231920698,0.0335284616745821,0.210067818626777,0.110846184740616,10.0202070651516,0
"4376","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 7",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.71,43,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",99,0.292671129770246,0.0722534150261149,2,8,14,0.25,0.142857142857143,0.273167044159201,0.129201241266872,0.0516478464300434,3.35476094817196,3.96676645699486,0.117972399036783,0.435386499151711,0.253668953031124,9.04583143344262,0
"4379","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 8",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.785,44,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",100,0.413515609235877,0.495314127039222,2,13,23,0.153846153846154,0.0869565217391304,0.267443504354124,0.14847996589526,0.026878514600332,4.61087420042644,2.86734070267992,0.0485309879611527,0.165250389446116,0.0917795794174639,7.46766137820212,0
"4382","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 9",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.79,45,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",101,0.732211991305983,1.39912733145775,2,11,19,0.181818181818182,0.105263157894737,0.3007183709133,0.167201878641875,0.0167895743229398,4.23048869438366,2.42025230931984,0.0525612544455135,0.184433238095225,0.105196740309652,5.01837423299674,0
"4388","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 11",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.79,46,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",103,0.521372940337284,0.725508144347363,2,12,20,0.166666666666667,0.1,0.273989989588263,0.20650212550619,0.0337422988527261,4.37380497131931,2.92573178549977,0.0839352909742767,0.221784607380651,0.132149223028262,6.409883305969,0
"4394","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 13",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.89,47,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",105,0.446902117537154,0.695924028776979,2,19,36,0.105263157894737,0.0555555555555556,0.184736737963479,0.148061363939641,0.0331038605583077,8,2.82621692927901,0.0472701867465908,0.141425125297906,0.0744910385538313,10.6878303777174,0
"4397","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 14",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.845,48,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",106,0.50242879659838,1.20502322523273,2,18,30,0.111111111111111,0.0666666666666667,0.220803660940857,0.238553601586021,0.0424587715435251,5.82191780821918,3.23590302445128,0.0190273698377936,0.134544288300785,0.0797941675552482,7.37076418606093,0
"4400","Primula_vulgaris_3","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valdes; Garcia; Garcia; Ehrlen","Ecography","2013","10.1111/j.1600-0587.2013.00216.x",NA,3,2008,2010,"1",1,"Rosette diameter","Yes","Yes","Site 15",43.2833333333333,-5.5,900,"ESP","Europe","TBM","A","Individual","Unmanipulated","W",2008,NA,NA,2010,NA,NA,"Divided","Yes",NA,4,0.895,49,"Y_edits","Longitude corrected","fragmented wood-pasture habitat",107,0.303863557581656,0.229874812730734,2,16,32,0.125,0.0625,0.161975835928698,0.14795894098029,0.0509706612717616,7.62270359199342,4.7248171880839,0.0406310897293347,0.260547557929747,0.129699627987909,15.075866775124,0
"4528","Ranunculus_peltatus","Ranunculus peltatus","Buttercup","Ranunculus","Ranunculaceae","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Idestam-Almquist","PhD thesis","1998","None",NA,6,1992,1997,"1",3,"No","Yes","No","Island of Askö",58.8,17.69,38,"SWE","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1997,NA,NA,"Divided","Yes",NA,3,0.4864,50,"Y","lat long corrected based on details of study location given in text","Marine",108,0.665183156974954,1.18940204546138,2,5,7,0.4,0.285714285714286,0.559216292505702,0.259991619032256,0.0365589600907005,1.40217786487661,2.17425584566233,0.077903285406261,0.317877169753257,0.231586071171884,2.3051341040153,0
"4536","Ratibida_columnifera","Ratibida columnifera",NA,"Ratibida","Compositae","Asterales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Dalgleish; Koons; Adler","J Ecol","2010","10.1111/j.1365-2745.2009.01585.x","Dalgleish J Ecol 2010 Appendix.zip",31,1942,1972,"1",1,"No","No","Yes","Hays",38.13,-99.05,627,"USA","N America","TGS","A","Individual","Unmanipulated","W",1941,NA,NA,1972,NA,NA,"Divided","Yes",NA,2,0.132413793103448,51,"Y_edits","coordinates refined","grasslands",109,2.70103448275862,3.09502480675402,2,4,5,0.5,0.4,0.932024448972032,0.120876524798449,0,1.14586645468998,1,0,0,0,1.08684763271017,0
"4653","Sarracenia_purpurea_2","Sarracenia purpurea","Northern pitcher plant","Sarracenia","Sarraceniaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Tendland","MSc thesis","2011","None",NA,5,2006,2010,"1",9,"Rosette size","Yes","No","Mistissini",50.4166666666667,-73.86,400,"CAN","N America","BOR","A","Individual","Unmanipulated","W",2009,NA,NA,2010,NA,NA,"Divided","Yes","Control",4,0.973,52,"Y_edits","longitude corrected","bog/fen wetland",110,0.0620000468203532,1.61358679990646,14,118,180,0.11864406779661,0.0777777777777778,0.355099223682575,0.167599717444482,0.0723800695618317,26.1536596653901,13.2719404663485,0.00218470294720878,0.064071740582507,0.042134462938492,29.3589983889461,0
"4664","Saxifraga_aizoides","Saxifraga aizoides",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Marcante; Winkler; Erschbamer","Annals Bot","2009","10.1093/aob/mcp047",NA,3,2004,2006,"1",2,"Number of shoots; individual plant size","No","No","Pioneer stage",46.8166666666667,11.0333333333333,2350,"AUT","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2006,NA,NA,"Divided","Yes",NA,6,1,53,"Y_edits","tiny correction (=< 0.0005) to U and A matrices to correct survival issues","alpine moraine",111,0.65111490260042,5.52621380641335,2,18,288,0.111111111111111,0.00694444444444444,0.0211015296575946,0.0980666612197516,0.0172208925510299,88.8130679356684,5.96679079747237,0.0558728069755923,0.604983290501012,0.0690297602590339,77.2062539525216,0
"4667","Saxifraga_aizoides","Saxifraga aizoides",NA,"Saxifraga","Saxifragaceae","Saxifragales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Marcante; Winkler; Erschbamer","Annals Bot","2009","10.1093/aob/mcp047",NA,3,2004,2006,"1",2,"Number of shoots; individual plant size","No","No","Early successional stage",46.8166666666667,11.0333333333333,2350,"AUT","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2006,NA,NA,"Divided","Yes",NA,6,0.99999,54,"Y_edits","tiny correction (=< 0.0005) to U and A matrices to correct survival issues","alpine moraine",112,0.0807968423025401,0.0330457493657917,2,23,52,0.0869565217391304,0.0384615384615385,0.254739203239357,0.101945062555031,0.101411204493549,5.85116689762418,2,0.206977024536068,0.393425261757168,0.222526494643204,45.9165507027646,0
"4812","Sphaeralcea_coccinea","Sphaeralcea coccinea",NA,"Sphaeralcea","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Dalgleish; Koons; Adler","J Ecol","2010","10.1111/j.1365-2745.2009.01585.x",NA,35,1938,1972,"1",1,"No","No","Yes","Hays",38.13,-99.05,627,"USA","N America","TGS","A","Individual","Unmanipulated","W",1937,NA,NA,1972,NA,NA,"Divided","Yes",NA,2,0.222,55,"Y_edits","coordinates refined","grasslands",119,0.855714285714286,1.01692670898694,2,4,6,0.5,0.333333333333333,0.913911730156066,0.123683756495952,0,1.18839515240544,1,1.77635683940025e-16,0,1.77635683940025e-16,1.2018351025347,0
"5036","Thymus_webbianus","Thymus vulgaris",NA,"Thymus","Lamiaceae","Lamiales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Iriondo; Albert; Giménez; Lozano; Escudero","Book","2009","978-84-8014-746-0",NA,3,2001,2003,"1",2,"Plant diameter","Yes","No","Calpe",38.65,0.0666666666666667,59,"ESP","Europe","MED","A","Individual","Unmanipulated","W",2001,NA,NA,2003,NA,NA,"Divided","Yes","The GPS coordinates were approximated to the closest geographic location described in the reference. Most of the populations in this study are under high risk of local extinction, and thus the exact GPS coordinates were not public. For further information please contact the authors of the book.",3,0.9925,56,"Y","Only use population Calpe, as in Benidorm no death was observed","rocky escarpment",123,0.00638238453215783,0.315587643508107,46,282,417,0.163120567375887,0.11031175059952,0.466357378186163,0.00915780679649598,0,69.4677871148459,29.169014084507,0.0402834404987549,0.114096836388778,0.0829594641665502,117.71028400648,0
"5226","Trollius_europaeus","Trollius europaeus",NA,"Trollius","Ranunculaceae","Ranunculales","Magnoliopsida","Tracheophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Lemke; Salguero-Gomez","Popul Ecol","2015","10.1007/s10144-015-0519-9",NA,4,2006,2009,"1",9,"Leaf length","Yes","No","Jägerwiese (JAGab)",54.0497222222222,12.1808333333333,5,"DEU","Europe","TBM","A","Individual","Abandoned","W",2007,NA,NA,2009,NA,NA,"Divided","Yes",NA,6,0.98,57,"Y_edits","small constants (1e-20) added to cells where no transition was observed but must occur, as per original authors.  One fecundity value fixed to match original","abandoned wet grassland",138,0.324144527976287,0.184488544064743,2,18,44,0.111111111111111,0.0454545454545455,0.124322819283928,0.185684340729556,0.17633756191064,11.006179625634,5.08097164329278,0.0169337652038846,0.244458069693018,0.0992381603559299,26.1732598028434,0
"5251","Trollius_laxus","Trollius laxus","Globeflower","Trollius","Ranunculaceae","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Scanga; Leopold","Biol Cons","2012","10.1016/j.biocon.2012.01.061","Scanga Biol Cons 2012 Appendix.doc; Scanga Plant Ecol 2014",5,2003,2007,"1",11,"Number of stems","Yes","No","Medison County, New York",42.9,-75.78,420,"USA","N America","TBM","A","Individual","Unmanipulated","W",2003,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,0.9833,58,"Y_edits","longitude value fixed","forested fen",139,0.364882490504128,9.78257735414368,3,96,166,0.03125,0.0180722891566265,0.175179899233767,0.291472776205817,0.048885545853923,15.1252524583125,2,0.0483141436132046,0.092026829616124,0.0540819366822155,18.8041699107629,0
"5451","Euterpe_edulis","Euterpe edulis",NA,"Euterpe","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae","Palm","Monocot","Angiosperm","Silva-Matos; Freckleton; Watkinson","Ecology","1999","10.1890/0012-9658(1999)080[2635:TRODDI]2.0.CO;2","Freckleton J Appl Ecol 2003 (PDF); Portela Biodiv; Cons 2010 (PDF)",4,1991,1994,"1",1,"Diameter at soil","Yes","No","Municipal Reserve",-22.829,-47.109,624,"BRA","S America","TMB","A","Individual","Unmanipulated","W",1991,NA,NA,1994,NA,NA,"Divided","Yes",NA,7,0.998,59,"Y_edits","corrections to lat long","forest",140,0.432942853939709,2368.96723741257,5,520,979,0.00961538461538462,0.00510725229826353,0.0224558899260514,0.20790450550428,0,200,22.65873303019,0.00459360373653429,0.0449364537181084,0.0239126377893263,34.5015456636263,0
"5468","Euterpe_precatoria","Euterpe precatoria",NA,"Euterpe","Arecaceae","Arecales","Liliopsida","Magnoliophyta","Plantae","Palm","Monocot","Angiosperm","Zuidema","Book","2000","None",NA,3,1997,1999,"1",1,"Blade length; stem height","No","No","El Tigre Forest Reserve",-10.98,-65.71,146,"BOL","S America","TMB","A","Individual","Unmanipulated","W",1997,NA,NA,1999,NA,NA,"Divided","Yes","Normal year",11,0.9575,60,"Y_edits","corrections to lat long","forest",141,0.226244261447626,0.0156558938397148,3,23,64,0.130434782608696,0.046875,0.0340823975541758,0.0359003180664353,0.00888650584206972,23.3639805300162,64.6579960704074,NA,0.870397782152815,0.766094952198081,129.539387078767,0
"5598","Atriplex_canescens","Atriplex canescens","Four-winged salt-bush","Atriplex","Amaranthaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae","Shrub","Eudicot","Angiosperm","Verhulst; Montaña; Mandujano; Franco","Oecologia","2008","10.1007/s00442-008-0980-7",NA,4,1995,1998,"1",1,"Canopy volume","No","No","Chihuahuan Desert",26.65,-103.93,1196,"MEX","N America","DES","A","Individual","Unmanipulated","W",1995,NA,NA,1998,NA,NA,"Divided","Yes",NA,5,0.95,61,"Y_edits","Coordinates fixed. Matches original","grassland",147,0.456726574298417,4.10322297210465,2,46,78,0.0434782608695652,0.0256410256410256,0.137621715503909,0.18068455999547,0.0340475236440318,12.0854122404179,2.44717800289436,0.0347710595712749,0.0797479832142748,0.0473065003560633,11.1760506680958,0
"5636","Clidemia_hirta","Clidemia hirta",NA,"Clidemia","Melastomataceae","Myrtales","Magnoliopsida","Magnoliophyta","Plantae","Shrub","Eudicot","Angiosperm","DeWalt","Biol Inv","2006","10.1007/s10530-005-5277-8","Kaye Plant Spp Biol 2003 matrices.hmt",4,1998,2001,"1",2,"Biomass","No","No","Waiakea",19.64,-155.22,10,"USA","N America","TBM","A","Individual","Unmanipulated","W",1998,NA,NA,1999,NA,NA,"Divided","Yes",NA,5,1,62,"Y_edits","coordinates fixed","forest",148,0.372640304144228,30370.043421783,NA,NA,NA,NA,NA,NA,0.231973460683677,0.00855683693618069,13123.3454773851,5.49101796407185,NA,NA,NA,34.8221989657216,0
"5637","Clidemia_hirta","Clidemia hirta",NA,"Clidemia","Melastomataceae","Myrtales","Magnoliopsida","Magnoliophyta","Plantae","Shrub","Eudicot","Angiosperm","DeWalt","Biol Inv","2006","10.1007/s10530-005-5277-8","Kaye Plant Spp Biol 2003 matrices.hmt",4,1998,2001,"1",2,"Biomass","No","No","Laupahoehoe",19.99,-155.25,1,"USA","N America","TBM","A","Individual","Unmanipulated","W",1998,NA,NA,1999,NA,NA,"Divided","Yes",NA,5,1,63,"Y_edits","coordinates fixed","forest",149,1.08217224971796,1849.07336627485,68,810,1247,0.0839506172839506,0.0545308740978348,0.349875139503768,0.377496448070809,0.00401677247448615,191.090898393476,3.26415094339623,0.00211288891886868,0.00568174970051604,0.00369081281142146,11.0230983604752,0
"6523","Castanea_dentata","Castanea dentata","American chestnut","Castanea","Fagaceae","Fagales","Magnoliopsida","Magnoliophyta","Plantae","Tree","Eudicot","Angiosperm","Davelos; Jarosez","J Ecol","2004","10.1111/j.0022-0477.2004.00907.x",NA,5,1996,2000,"1",6,"Plant height; DBH","Based on size","No","Missaukee healthy",44.4327777777778,-85.15,400,"USA","N America","TBM","A","Individual","Unmanipulated","W",1996,NA,NA,2000,NA,NA,"Divided","Yes","Disease-free",8,1,64,"Y_edits","Coordinates fixed. Can't access original matrices, but transition types look correct","Forest",159,0.229455113569822,0.991848715891489,2,50,133,0.04,0.0150375939849624,0.0281767663829893,0.132322750284568,0.0147902252576686,43.186108983976,27.7943567236657,0.380169375197366,0.658147636239622,0.500690287248874,109.700803694478,0
"6528","Castanea_dentata","Castanea dentata","American chestnut","Castanea","Fagaceae","Fagales","Magnoliopsida","Magnoliophyta","Plantae","Tree","Eudicot","Angiosperm","Davelos; Jarosez","J Ecol","2004","10.1111/j.0022-0477.2004.00907.x",NA,5,1996,2000,"1",6,"Plant height; DBH","Based on size","No","Leelanau",45.0525,-85.759,200,"USA","N America","TBM","A","Individual","Unmanipulated","W",1996,NA,NA,2000,NA,NA,"Divided","Yes","Disease-free",8,1,65,"Y_edits","Coordinates fixed. Can't access original matrices, but transition types look correct","Forest",160,0.151464777499949,8.05634570312075,4,112,492,0.0357142857142857,0.00813008130081301,0.0304121673208026,0.127656446185397,0.0112476691961294,110.139876630847,21.3864285418825,0.149530300103841,0.525320277552768,0.184149609935593,154.236212796472,0
"6533","Castanea_dentata","Castanea dentata","American chestnut","Castanea","Fagaceae","Fagales","Magnoliopsida","Magnoliophyta","Plantae","Tree","Eudicot","Angiosperm","Davelos; Jarosez","J Ecol","2004","10.1111/j.0022-0477.2004.00907.x",NA,5,1996,2000,"1",6,"Plant height; DBH","Based on size","No","Missaukee Diseased",44.44,-85.43,320,"USA","N America","TBM","A","Individual","Unmanipulated","W",1996,NA,NA,2000,NA,NA,"Divided","Yes","Disease-free",8,1,66,"Y_edits","Coordinates fixed. Can't access original matrices, but transition types look correct","Forest",161,0.0168386417304417,0.21237919771063,2,221,383,0.00904977375565611,0.00522193211488251,0.0205376727050198,0.0798673580571828,0.0534896688863241,75.7488856492344,21.6331317159153,0.0274285754612371,0.127998479419002,0.0748138905247948,151.866322327685,0
